id,qual,q1,q2i,q3i
62bddd0e3aa68f161edf4258,3,3,1,1
62bddd0e3aa68f161edf4259,3,3,1,1
62bddd0e3aa68f161edf425a,3,3,1,1
62bddd0e3aa68f161edf425b,5,3,0,0
62bddd0e3aa68f161edf425c,5,3,0,0
62bddd0e3aa68f161edf425d,3,3,1,1
62bddd0e3aa68f161edf425e,2,2,1,1
62bddd0e3aa68f161edf425f,2,2,1,1
62bddd0e3aa68f161edf4260,5,3,0,0
62bddd0e3aa68f161edf4261,3,3,1,1
62bddd0e3aa68f161edf4262,3,3,1,1
62bddd0e3aa68f161edf4267,3,3,1,1
62bddd0e3aa68f161edf4268,5,3,0,0
62bddd0e3aa68f161edf4269,3,3,1,1
62bddd0e3aa68f161edf426a,3,3,1,1
62bddd0e3aa68f161edf426b,5,3,0,0
62bddd0e3aa68f161edf426c,5,3,0,0
62bddd0e3aa68f161edf426d,3,3,1,1
62bddd0e3aa68f161edf426e,3,3,1,1
62bddd0e3aa68f161edf426f,1,1,1,1
62bddd0e3aa68f161edf4270,3,3,1,1
62bddd0e3aa68f161edf4271,5,3,0,0
62bddd0e3aa68f161edf427a,3,3,1,1
62bddd0e3aa68f161edf427b,3,3,1,1
62bddd0e3aa68f161edf427c,3,3,1,1
62bddd0e3aa68f161edf427d,5,3,0,0
62bddd0e3aa68f161edf427e,3,3,1,1
62bddd0e3aa68f161edf427f,5,3,0,0
62bddd0e3aa68f161edf4280,3,3,1,1
62bddd0e3aa68f161edf4281,1,1,1,1
62bddd0e3aa68f161edf4282,3,3,1,1
62bddd0e3aa68f161edf4283,3,3,1,1
62bddd0e3aa68f161edf4284,3,3,1,1
62bddd0e3aa68f161edf4285,3,3,1,1
62bddd0e3aa68f161edf4286,3,3,1,1
62bddd0e3aa68f161edf4287,3,3,1,1
62bddd0e3aa68f161edf4288,3,3,1,1
62bddd0e3aa68f161edf4289,3,3,1,1
62bddd0e3aa68f161edf428a,5,3,0,0
62bddd0e3aa68f161edf428b,3,3,1,1
62bddd0e3aa68f161edf428c,3,3,1,1
62bddd0e3aa68f161edf428d,5,3,0,0
62bddd0e3aa68f161edf4293,4,3,0,1
62bddd0e3aa68f161edf4294,3,3,1,1
62bddd0e3aa68f161edf4295,5,3,0,0
62bddd0e3aa68f161edf4296,2,1,0,1
62bddd0e3aa68f161edf4297,5,3,0,0
